title,value
CourseSchedule - ICT1001 - Tri1 AY2016 - KTSeow.pdf,0
ICT1001-Lab-Marking-Criteria.pdf,0.053369987
Online Quiz 1 Results (w qns _ ans) Correct answer is first one of every qn.PDF,0.158272255
Online Quiz 2.docx,0.0843
Online Quiz 3.docx,0.0843
Online Quiz 4.docx,0.0843
Online Quiz 5.docx,0.0843
Online Quiz 6.docx,0.0843
Online Quiz 7.docx,0.0843
Online Quiz 8.docx,0.0843
Quiz1answers.txt,0
ICT1001 - Past Year Exam Paper - 2014.pdf,0.07236072800000001
ICT1001 - Past Year Exam Paper - 2015.pdf,0.07236072800000001
Additional In-Lecture Questions _ Answers.docx,0.084083799
ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands (done).docx,1
ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.docx,1
ICT1001 - T1-16 - Lab 1 - Virtual Machines _ Linux Shell Commands.pdf,1
ICT1001 - T1-16 - Lecture 1 - Introduction to Digital Age.pdf,0.84928998
ICT1001 - T1-16 - Lecture 2 - Number Systems.pdf,0.947363095
ICT1001 - T1-16 - Tutorial 1 - Number Systems.docx,0.964078739
ICT1001 - T1-16 - Tutorial 1 - Number Systems.pdf,0.964078739
ICT1001 - T1-16 - Lecture 3 - Circuits 1 - Combinatorial Circuits.pdf,0.008089234
ICT1001 - T1-16 - Lecture 4 - Circuits 2 - More Combinatorial Circuits and Sequential Circuits.pdf,0.012133851000000001
ICT1001 - Lab Report Sample.pdf,0.03742756
ICT1001 - T1-16 - Lab 2 _ 3 - Combinatorial _ Sequential Circuits.pdf,0.012260246
ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf,0.88
"ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf",0
ICT1001 - Lecture 3 Quiz - Part 1 Boolean Algebra.pdf,0.88
"ICT1001 - Lecture 3 Quiz - Part 2 SOP, POS, KMap.pdf",0
ICT1001 - T1-16 - Lecture 5-1 - Database Part I  ER Diagram.pdf,0.198
ICT1001 - T1-16 - Lecture 5-1a - ER Exercise.pdf,0.004802983
ICT1001 - T1-16 - Lecture 5-2 - A Clarification on Nested SQL Query.pdf,1
ICT1001 - T1-16 - Lecture 5-2 - Database Part II  SQL.pdf,1
ICT1001 - T1-16 - Lab 4 - Database.pdf,0.206215629
ICT1001 - T1-16 - Lecture 6 - Short Version - Software Engineering.pdf,0.8424037000000001
ICT1001 - T1-16 - Lab 5 - Software Engineering - Grading Criteria.pdf,0.727511295
ICT1001 - T1-16 - Lab 5 - Software Engineering.pdf,0.682356937
A Note on BinarySearch-WCC-Analysis.pdf,0.01
ICT1001 - T1-16 - Lecture 7 - Algorithms.pdf,0.005877334
ICT1001 - T1-16 - Tutorial 2 - Algorithms.pdf,0.022592978
ICT1001 - T1-16 - Lecture 8 - Security.pdf,0.641387801
ICT1001 - T1-16 - Tutorial 3 - Security.pdf,0.6581034450000001
Deitel-C_ How to Program.pdf,0.353177232
Team Assignment 1_Transaction Analyzer.pdf,0.043700824
ICT1002_Assignment2_2016_Tri1.pdf,0
blogo.h,0
canvas.c,0
commands.c,0.461
main.c,0
Makefile,0
program.c,0.353177232
turtle.c,0
ICT1002 Lec1_2016.pdf,0
ICT1002 Lec2_2016.pdf,0
ICT1002 Lec3_2016.pdf,0
ICT1002 Lec4_Functional Abstraction and Decomposition.pdf,0
ICT1002 Lec5_2016_RECURSION.pdf,0.88
ICT1002 Lec6_2016_HIGHER ORDER FUNCTION.pdf,0.6908141680000001
ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf,1
ICT1002-W11-LEC-Dynamic-Memory-Allocation.pdf,1
ICT1002-W12-LEC-Files.pdf,0.319019176
ICT1002-W8-LEC-Introduction-to-C.pdf,0
ICT1002-W9-LEC-Program-and-Memory-Organisation.pdf,1
ICT1002 Lab 1_2016.docx,0.008215629
ICT1002 Lab 1_2016.pdf,0.008215629
ICT1002 Lec1 on Historical of computing & Python basics 1_2018.pdf,1
ICT1002 Lec1_2016.pdf,0
ICT1002 Lec2_2016.pdf,0
ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1 (done).docx,1
ICT1002-W10-LAB-Arrays-and-Pointers-2017_Tri1.docx,1
ICT1002-W10-LEC-More-on-Arrays-and-Pointers.pdf,1
array_addresses.c,1
constant_and_nonconstant.c,0.123
const_array.c,0.82
