title,value
FLARE-On,0
(3) Motivation for SE - YouTube,0
Slack | sit-ict2x01-2019t1 - WEEK 01: Module Overview Motivation & the SDLC,0.043897708
(3) Use Nmap for Tactical Network Reconnaissance [Tutorial] - YouTube,1
linux - How do I partition a USB drive so that it's bootable and has a Windows-compatible data storage partition? - Unix & Linux Stack Exchange,1
Bash Bunny: Big hacks come in tiny packages | CSO Online,1
Hashes.org - Public Leaks,0
Download 64-bit (x64) utilities package for Windows,1
xSiTe - Learning Management System (LMS) of Singapore Institute of Technology,1
https://in4sit.singaporetech.edu.sg,0
Mail - 1801704@sit.singaporetech.edu.sg,0.11
Learning Catalytics Join Session,0.405407145
Binary Converter,0.55
HTML Tutorials | HTML Dog,1
CodeDR,0
ASCII Chart â€” Python Reference (The Right Way) 0.1 documentation,1
HTML Tables,1
(40) Flask Web Development in Python - 1 - Intro - YouTube,1
(40) Flask Web Development with Python Tutorial - 1 - Basic App - YouTube,1
(40) Matplotlib Tutorial 1 - Introduction and Line - YouTube,0.004178911
Sets Functions and Relations - Slides (Pre Session) - ICT1005-Mathematics and Statistics for ICT,0.070148828
python - Wrapping long y labels in matplotlib tight layout using setp - Stack Overflow,1
(40) Creating a Dynamic Select Field With Flask-WTF and JavaScript - YouTube,1
[AF] Getting selected value from dropdown list : flask,0.144413899
python - Getting value from select tag using flask - Stack Overflow,1
Charting Using Plotly in Python,0.248
Plotting graph using python and dispaying it using HTML - Stack Overflow,1
Binary Calculator - Addition Subtraction Multiplication and Division,1
IEEE-754 Floating Point Converter,1
Buttons Â· Bootstrap,0
Bootstrap Navigation Components,0.03627516
Alerts Â· Bootstrap,0
Jumbotron Â· Bootstrap,0
Components Â· Bootstrap,0.03627516
Grid system Â· Bootstrap,0.375
Bootstrap 3 Tutorial,0.011143763
Components Â· Bootstrap,0.03627516
JavaScript Form Validation,1
How To Create a Countdown Timer,0.221188489
(40) How to Make Green Tea Chocolate Chip Cookies ë…¹ì°¨ ì´ˆì½” ì¿ í‚¤ ~ Snowy Winter Cafe~ - YouTube,0.009637564
Arduino Playground - Time,0.095333333
IT Business Analyst (Intern) - Singapore - Indeed.com.sg,0.012049589
Lecture 2 on OO Java - ICT1009-Object-Oriented Programming [2018/19 T2],1
Introduction to Networking | Network Fundamentals Part 1 - YouTube,0.66
Music Company Jobs - February 2019 | Indeed.com.sg,0.113597594
Lecture 19: File system implementation - YouTube,1
Watch What's Wrong With Secretary Kim Episode 2 EngSub | Server undefined | 4,0.263954606
How to extract the exact indentation of a line in a python file? - Stack Overflow,1
Python Programming Tutorials,1
python - Get textinput value in Kivy app - Stack Overflow,1
python - Kivy run function from kv button - Stack Overflow,1
Process Text using TFIDF in Python â€“ Towards Data Science,1
How do I compare document similarity using Python? - O'Reilly Media,0.078053653
Tf-Idf and Cosine similarity | Seeking Wisdom,0
nlp - How to compute the similarity between two text documents? - Stack Overflow,1
python - Calculate cosine similarity given 2 sentence strings - Stack Overflow,1
Overview of Text Similarity Metrics in Python â€“ Towards Data Science,1
Binary Search Tree Visualization,1
Qt for Python | The official Python bindings for Qt,1
How to process textual data using TF-IDF in Python â€“ freeCodeCamp.org,1
python - Pip install: can't open file pip or Parent module '' not loaded - Stack Overflow,1
Cisco Nexus 5000 Series NX-OS Software Configuration Guide - Configuring Port Channels [Cisco Nexus 5000 Series Switches] - Cisco,1
Kruskalâ€™s Minimum Spanning Tree Algorithm | Greedy Algo-2 - GeeksforGeeks,0.889539103
(2) python ethical hacking - YouTube,1
THE 10 BEST Restaurants in Seoul - TripAdvisor,0.002857143
Form Google Maps URL that searches for a specific places near specific coordinates - Stack Overflow,1
DNS Spoofing does not work Â· Issue #889 Â· Ettercap/ettercap Â· GitHub,1
(17) SPSE Module 3-8: Programming with scapy - YouTube,0.513650583
Walkthrough: Set Up an Apache Web Server and Serve Amazon EFS Files - Amazon Elastic File System,1
Install MySQL Server on Ubuntu,0.97872
(25) Hunt Down Social Media Accounts by Usernames Using Sherlock [Tutorial] - YouTube,0.047128321
How to Install MySQL on Ubuntu 18.04 | Linuxize,0.0616
AWS Resource and Property Types Reference - AWS CloudFormation,1
Learn Template Basics - AWS CloudFormation,0.105792014
Ref - AWS CloudFormation,0
Run python script on my computer after Http Request - Stack Overflow,1
How can I send a string to a specific port using PHP? - Stack Overflow,1
Database Programming in Python | Basics | Open Source,1
PyMySQL Â· PyPI,0
Socket Programming in PHP - CodeProject,1
pyt,0
How To Setup Autorun a Python Script Using Systemd - TecAdmin,1
AWS Developer Forums: Feedback - cloudformation natgateway ...,0.052857143
amazon web services - Name an EC2 Instance in the CloudFormation template? - Stack Overflow,1
Cybersecurity Intern - Columbia MD - Indeed.com,0.002540525
