"DisplayName","DisplayVersion","Publisher","InstallDate"
"Visual Studio Community 2017","15.9.28307.518","Microsoft Corporation","20181022"
"Adobe Digital Editions 4.5","4.5.10","Adobe Systems Incorporated",
"Adobe Flash Player 32 PPAPI","32.0.0.270","Adobe",
"Bulk Extractor 1.5.5","1.5.5","NPS",
"Cisco AnyConnect Secure Mobility Client ","4.2.00096","Cisco Systems, Inc.",
"Visual Studio Build Tools 2017 (2)","15.9.28307.858","Microsoft Corporation","20190916"
"FlashBack Pro 5","5.33.0.4392","Blueberry Software (UK) Ltd.",
"SecurityCenter","16.0 R21","McAfee, LLC.",
"Notepad++ (32-bit x86)","7.7.1","Notepad++ Team",
"JetBrains PyCharm 2018.1.1","181.4445.76","JetBrains s.r.o.",
"Rainmeter","4.3.1 r3321","Rainmeter","20190922"
"Sticky Password 8.2.2.14","8.2","Lamantine Software","20190908"
"TeamViewer 14","14.6.4835","TeamViewer",
"Tera Term 4.101","4.101","TeraTerm Project","20190116"
"VeraCrypt","1.21","IDRIX",
"VLC media player","3.0.6","VideoLAN",
"WinPcap 4.1.3","4.1.0.2980","Riverbed Technology, Inc.",
"Wireshark 2.6.1 64-bit","2.6.1","The Wireshark developer community, https://www.wireshark.org",
"Zotero","5.0.74","Corporation for Digital Scholarship",
"WinRT Intellisense UAP - Other Languages","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK Desktop Libs arm64","10.1.17134.12","Microsoft Corporation","20181022"
"WinRT Intellisense Desktop - en-us","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK Desktop Libs x86","10.1.17134.12","Microsoft Corporation","20181022"
"Windows IoT Extension SDK","10.1.17134.12","Microsoft Corporation","20181022"
"MobaXterm","11.0.0.3816","Mobatek","20190113"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","12.0.30501.0","Microsoft Corporation",
"SDK ARM Additions","10.1.17763.132","Microsoft Corporation","20190324"
"Universal CRT Headers Libraries and Sources","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps Libs","10.1.17134.12","Microsoft Corporation","20181022"
"SD Card Formatter","5.0.1","SD Association","20181122"
"Windows IoT Extension SDK","10.1.17763.132","Microsoft Corporation","20190324"
"icecap_collectionresourcesx64","15.8.27924","Microsoft Corporation","20181022"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20180602"
"vcpp_crt.redist.clickonce","14.16.27012","Microsoft Corporation","20190324"
"Windows SDK EULA","10.1.17134.12","Microsoft Corporations","20181022"
"Universal CRT Extension SDK","10.1.17134.12","Microsoft Corporation","20181022"
"vs_tipsmsi","15.0.27005","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps","10.1.17763.132","Microsoft Corporation","20190324"
"MSI Development Tools","10.1.17134.12","Microsoft Corporation","20181022"
"Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.22.27821","14.22.27821","Microsoft Corporation","20190917"
"vs_filehandler_x86","15.9.28302","Microsoft Corporation","20190324"
"Windows SDK for Windows Store Apps Contracts","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Desktop Headers x64","10.1.17134.12","Microsoft Corporation","20181022"
"Microsoft Visual Studio Setup Configuration","1.18.21.37008","Microsoft Corporation","20190324"
"Windows SDK Desktop Tools x86","10.1.17134.12","Microsoft Corporation","20181022"
"vcpp_crt.redist.clickonce","14.16.27033","Microsoft Corporation","20190917"
"Java 8 Update 201","8.0.2010.9","Oracle Corporation","20190212"
"Windows SDK Desktop Tools arm64","10.1.17134.12","Microsoft Corporation","20181022"
"Kits Configuration Installer","10.1.17763.132","Microsoft","20190324"
"Windows SDK EULA","10.1.17763.132","Microsoft Corporations","20190324"
"Microsoft .NET Framework 4.6.1 SDK","4.6.01055","Microsoft Corporation","20181022"
"Control Center 5.0000.0.21","5.0000.0.21",,"20180302"
"vs_Graphics_Singletonx86","15.8.27729","Microsoft Corporation","20181022"
"Windows SDK Desktop Libs arm","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation",
"McAfee WebAdvisor","4.1.0.102","McAfee, LLC.",
"Windows SDK Desktop Headers arm64","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps Contracts","10.1.17763.132","Microsoft Corporation","20190324"
"WinRT Intellisense Mobile - en-us","10.1.17134.12","Microsoft Corporation","20181022"
"WinRT Intellisense Desktop - en-us","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps Tools","10.1.17134.12","Microsoft Corporation","20181022"
"vs_minshellinteropmsi","15.8.27825","Microsoft Corporation","20181022"
"Windows SDK Facade Windows WinMD Versioned","10.1.17134.12","Microsoft Corporation","20181022"
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.22.27821","14.22.27821","Microsoft Corporation","20190917"
"vs_communitymsires","15.0.26621","Microsoft Corporation","20181022"
"WinRT Intellisense UAP - en-us","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK for Windows Store Apps Headers","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Desktop Headers arm64","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK ARM Desktop Tools","10.1.17134.12","Microsoft Corporation","20181022"
"icecap_collectionresources","15.8.27924","Microsoft Corporation","20181022"
"MySQL Documents 8.0","8.0.15","Oracle Corporation","20190317"
"Windows SDK Desktop Headers x64","10.1.17763.132","Microsoft Corporation","20190324"
"Java Auto Updater","2.8.201.9","Oracle Corporation","20190212"
"SDK ARM Redistributables","10.1.17763.132","Microsoft Corporation","20190324"
"Windows Team Extension SDK","10.1.17134.12","Microsoft Corporation","20181022"
"Windows App Certification Kit SupportedApiList x86","10.1.17763.132","Microsoft Corporation","20190324"
"Windows SDK Modern Versioned Developer Tools","10.1.17134.12","Microsoft Corporation","20181022"
"Windows Mobile Extension SDK","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Desktop Libs arm64","10.1.17763.132","Microsoft Corporation","20190324"
"Microsoft Visual C++ 2017 X86 Debug Runtime - 14.16.27033","14.16.27033","Microsoft Corporation","20190917"
"VS Immersive Activate Helper","16.0.95.0","Microsoft Corporation","20181022"
"Windows SDK Desktop Libs arm","10.1.17134.12","Microsoft Corporation","20181022"
"Windows SDK Signing Tools","10.1.17763.132","Microsoft Corporation","20190324"
"Apple Application Support (32-bit)","7.3","Apple Inc.","20190125"
"WinAppDeploy","10.1.17134.12","Microsoft Corporation","20181022"
