"Count","Result","Time","Title","FullPath","LengthInKB","HexSignature","FileExtn","PotentiallyMalicious","ExtNoMatch"
"1","Extension matches magic number","9/1/2018 12:39:10 AM","CourseSchedule - ICT1001 - Tri1 AY2016 - KTSeow.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Course Schedule\CourseSchedule - ICT1001 - Tri1 AY2016 - KTSeow.pdf","125","2550",".pdf","0","0"
"2","Extension matches magic number","9/1/2018 12:39:10 AM","ICT1001-Lab-Marking-Criteria.pdf","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Lab Marking Criteria\ICT1001-Lab-Marking-Criteria.pdf","105","2550",".pdf","0","0"
"3","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 1 Results (w qns _ ans) Correct answer is first one of every qn.PDF","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 1 Results (w qns _ ans) Correct answer is first one of every qn.PDF","404","2550",".PDF","0","0"
"4","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 2.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 2.docx","608","504b",".docx","0","0"
"5","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 3.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 3.docx","2623","504b",".docx","0","0"
"6","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 4.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 4.docx","255","504b",".docx","0","0"
"7","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 5.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 5.docx","231","504b",".docx","0","0"
"8","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 6.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 6.docx","542","504b",".docx","0","0"
"9","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 7.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 7.docx","338","504b",".docx","0","0"
"10","Extension matches magic number","9/1/2018 12:39:10 AM","Online Quiz 8.docx","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1001-Introduction to ICT\Online Weekly Quiz\Online Quiz 8.docx","157","504b",".docx","0","0"
