word,normalized_weight
superblock,0.7
cve,1
programmatically,0.7
meterpreter,1
keylogger,1
json,0.5
scp,0.5
apps,0.87
apps,0.865
prefetch,0.867
sans,0.97
dfir,0.9754
iptables,0.9
mru,0.9
artifact,0.9
payloads,0.95
cookies,0.9
wlan,0.86
wan,0.84
rdp,0.9
sln,0.9
gz,0.9
lnk,0.9
obj,0.9
public,0.9
cli,0.9
aws,0.9
bash,0.99
bunny,0.99
forensics,0.9
recurse,0.88
recursion,0.88
recursive,0.88
nand,0.88
ips,0.88
slowloris,0.99
probe,0.88
probing,0.88
unicast,0.88
multicast,0.88
snmp,0.88
rip,0.88
ipv4,0.88
ipv6,0.88
opsf,0.88
nat,0.88
stp,0.88
vlan,0.88
stmp,0.88
hsrp,0.88
trunking,0.88
tfidf,0.88
idf,0.88
nlp,0.88
kmp,0.88
dsa,0.88
levenshtein,0.88
arrays,0.88
dictionaries,0.88
algo,0.88
neo4j,0.88
mariadb,0.88
phpmyadmin,0.88
perl,0.88
swift,0.88
typescript,0.88
c#,0.88
ruby,0.88
iot,0.88
cloud,0.88
ml,0.88
kotlin,0.88
erlang,0.88
pascal,0.88
jquery,0.88
bootstrap,0.88
nodejs,0.88
reactjs,0.88
react,0.88
fat32,0.88
fat16,0.88
ext1,0.88
ext2,0.88
ext3,0.88
ext4,0.88
fat,0.88
hfs,0.88
ntfs,0.88
asp,0.88
float,0.88
char,0.88
varchar,0.88
boolean,0.88
str,0.88
oop,0.88
encapsulation,0.88
inheritance,0.88
polymorphism,0.88
iterate,0.88
iteration,0.88
iterable,0.88
iterator,0.88
attribute,0.88
conversion,0.88
pow,0.88
modulus,0.88
vsync,0.88
exfat,0.88
htfs,0.88
bluesnarfer,0.99
btscanner,0.99
blueranger,0.99
redfang,0.99
mfterm,0.99
searchsploit,0.99
ssqlsplit,0.99
sniffjoke,0.99
nfspy,0.99
dnschef,0.99
netsniff,0.99
dsniff,0.99
sleuth,0.99
sleuthkit,0.99
thesleuthkit,0.99
faraday,0.99
chrome,0.76
firefox,0.76
chromium,0.88
phish,0.99
phisher,0.99
phishing,0.99
zenmap,0.99
xss,0.99
putty,0.99
yed,0.88
fragroute,0.99
fragrouter,0.99
hping3,0.99
dnsmap,0.99
proxystrike,0.99
wpscan,0.99
jsql,0.99
oscanner,0.99
sqldict,0.99
sqlite,0.99
sqlninja,0.99
sqlsus,0.99
john,0.99
johnny,0.99
wordlist,0.9
findmyhash,0.99
torrent,0.77
bittorrent,0.77
7z,0.88
7zip,0.88
ide,0.88
hxd,0.88
pcap,0.88
winpcap,0.88
mysql,0.88
teamviewer,0.88
gui,0.88
ui,0.88
ue,0.88
jar,0.88
vb,0.88
vbs,0.88
bat,0.88
tmp,0.88
msi,0.88
msp,0.88
cmd,0.88
inf,0.88
scf,0.88
ps1,0.88
js,0.88
c++,0.88
cypher,0.88
nginx,0.88
discord,0.88
notepad++,0.88
studio,0.88
vs,0.88
breach,0.88
driftnet,0.99
netcreds,0.99
github,0.86
git,0.85
sslstrip,0.99
ubuntu,0.88
powershell,0.99
scripting,0.99
scapy,0.99
xampp,0.88
wamp,0.88
apache,0.88
netbeans,0.88
jetbrains,0.88
cedar,0.88
eclipse,0.88
tera,0.88
vmware,0.88
virtualbox,0.88
virtual,0.88
vms,0.88
snort,0.9
wifite,0.99
hping,0.99
slowhttptest,0.99
rainbowcrack,0.99
yersinia,0.99
hsts,0.77
ssl,0.63
tls,0.61
owasp,0.99
dirbuster,0.99
dirb,0.99
traceroute,0.99
tracert,0.99
macchanger,0.99
hashcat,0.99
aircrack,0.99
airmon,0.99
aireplay,0.99
airodump,0.99
airolib,0.99
airserv,0.99
airtun,0.99
airdecap,0.99
packetforge,0.99
airdecloack,0.99
wep,0.58
burpsuite,0.99
bettercap,0.99
ettercap,0.99
maltego,0.99
nmap,0.99
sqlmap,0.99
wireshark,0.94
hydra,0.99
volatility,0.99
metasploit,0.99
msfconsole,0.99
armitage,0.99
cain,0.99
nbtscan,0.99
netcat,0.99
ophcrack,0.99
abel,0.99
kaspersky,0.84
mbr,0.87
gpt,0.88
wifi,0.42
wpa,0.78
wpa2,0.81
autopsy,0.92
cpp,0.82
apk,0.875
java,0.88
py,0.88
python,0.88
css,0.81
javascript,0.82
wget,0.9
ssh,0.9
uname,0.84
kali,0.99
battery,0.431
ddr3,0.6123
ddr4,0.63431
gtx,0.774
android,0.5764
ios,0.5143
sudo,0.88
ifconfig,0.77
ipconfig,0.63
adduser,0.55
userdel,0.54
gzip,0.65
gunzip,0.65
netstat,0.58
hdparm,0.64
whoami,0.67
sqli,0.97
mitm,0.94
ddos,0.96
injection,0.82
arp,0.86
poisoning,0.84
system,0.75
rogue,0.84
file,0.741492075
security,0.641387801
user,0.3
computer,0.422978476
access,0.422062117
data,0.383859444
program,0.353177232
number,0.347363095
password,0.6
network,0.52
files,0.319019176
systems,0.6
time,0.143
command,0.55
code,0.69
users,0.235030174
control,0.229310832
tcp,0.84
type,0.1235
set,0.176
unix,0.876
call,0.154
software,0.65
server,0.76
mail,0.11
account,0.14
directory,0.65
list,0.2
address,0.762
key,0.35
message,0.2155
ftp,0.765
udp,0.8123
level,0.158119251
read,0.364
group,0.214
people,0.134
service,0.61
login,0.25
process,0.45
cd,0.45
phone,0.2678
find,0.241
hackers,0.7
version,0.133914745
